                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2351,                 1.7923,                 1.1832,                0.60825,                0.72652,                0.71099,                0.52378,                0.89312,                 1.2749,                 1.0243,             0.00047514,             0.00047514,             0.00047514
                      2,                   1.21,                 1.3101,                 1.2058,                 0.6213,                0.72267,                0.72397,                0.53645,                0.82858,                 1.0296,                 0.9934,             0.00093802,             0.00093802,             0.00093802
                      3,                 1.2026,                 1.1635,                 1.2128,                0.62177,                0.67218,                0.68998,                0.44093,                 1.1894,                 1.1221,                 1.1953,              0.0013874,              0.0013874,              0.0013874
                      4,                 1.1606,                 1.0911,                 1.1945,                0.65883,                0.75948,                 0.7384,                0.55393,                0.91682,                0.87008,                 1.0613,              0.0013684,              0.0013684,              0.0013684
                      5,                 1.1441,                 1.0507,                  1.194,                0.73222,                0.77996,                0.80841,                0.62848,                0.80671,                0.84587,                 1.0362,              0.0013684,              0.0013684,              0.0013684
                      6,                 1.1143,                0.98869,                 1.1778,                0.74604,                0.77646,                0.80837,                0.57329,                0.99786,                 0.8216,                 1.0679,              0.0013482,              0.0013482,              0.0013482
                      7,                 1.0728,                0.93779,                 1.1573,                0.73372,                0.81566,                0.82111,                0.63924,                0.78983,                0.71085,                 1.0047,              0.0013279,              0.0013279,              0.0013279
                      8,                 1.0527,                0.90743,                 1.1464,                0.75946,                 0.8403,                0.86757,                0.68496,                0.75609,                0.67207,                0.98436,              0.0013077,              0.0013077,              0.0013077
                      9,                 1.0319,                0.88168,                 1.1382,                0.81345,                0.79678,                0.86813,                 0.6912,                 0.7495,                0.68287,                0.99372,              0.0012875,              0.0012875,              0.0012875
                     10,                 1.0046,                0.85772,                 1.1304,                0.79516,                0.82011,                0.86345,                0.69192,                0.71685,                0.64788,                0.96185,              0.0012673,              0.0012673,              0.0012673
                     11,                0.99941,                0.84741,                 1.1204,                0.79105,                0.84872,                0.87536,                0.69629,                0.73707,                  0.617,                0.97981,              0.0012471,              0.0012471,              0.0012471
                     12,                0.97185,                0.81324,                 1.1104,                 0.8243,                0.85181,                0.89984,                0.72317,                0.71745,                 0.6056,                0.98552,              0.0012269,              0.0012269,              0.0012269
                     13,                0.96461,                0.79329,                 1.1075,                0.83043,                0.85801,                 0.9052,                0.73229,                0.71433,                0.58288,                0.96723,              0.0012067,              0.0012067,              0.0012067
                     14,                0.95384,                 0.7807,                 1.1048,                0.79594,                0.86204,                0.90106,                0.74024,                0.69635,                0.57356,                0.96425,              0.0011865,              0.0011865,              0.0011865
                     15,                 0.9461,                0.76754,                 1.1006,                0.85728,                0.87025,                0.91431,                0.74096,                0.69683,                0.54995,                0.97307,              0.0011663,              0.0011663,              0.0011663
                     16,                0.92369,                0.74121,                 1.0901,                0.87117,                 0.8549,                0.91434,                0.75019,                0.68004,                0.53448,                0.96319,              0.0011461,              0.0011461,              0.0011461
                     17,                  0.922,                0.74121,                 1.0898,                0.84281,                0.88808,                0.92178,                0.76141,                0.66469,                0.52098,                0.95865,              0.0011258,              0.0011258,              0.0011258
                     18,                0.91783,                0.73142,                 1.0891,                0.83285,                0.86786,                0.91406,                0.74876,                0.69235,                0.55655,                0.97601,              0.0011056,              0.0011056,              0.0011056
                     19,                0.90696,                 0.7196,                 1.0822,                0.82278,                0.87345,                0.91985,                0.76302,                0.65773,                0.52438,                0.94738,              0.0010854,              0.0010854,              0.0010854
                     20,                0.90055,                0.70645,                 1.0761,                0.84308,                   0.89,                0.92621,                0.75857,                0.67872,                0.51597,                0.96862,              0.0010652,              0.0010652,              0.0010652
                     21,                0.88569,                 0.6948,                 1.0703,                0.84973,                0.91394,                0.92795,                0.76886,                0.68643,                0.49732,                0.96005,               0.001045,               0.001045,               0.001045
                     22,                 0.8776,                0.68728,                 1.0706,                0.86785,                0.90115,                0.93545,                 0.7785,                0.66648,                0.48416,                0.96564,              0.0010248,              0.0010248,              0.0010248
                     23,                0.87408,                0.68288,                 1.0682,                0.86189,                0.88915,                0.92501,                0.77146,                 0.6581,                0.49031,                0.96217,              0.0010046,              0.0010046,              0.0010046
                     24,                0.86977,                0.67192,                 1.0624,                0.85538,                0.89116,                0.93189,                0.77894,                0.65224,                0.47645,                0.95206,             0.00098438,             0.00098438,             0.00098438
                     25,                0.86138,                0.66619,                 1.0624,                0.86319,                0.89853,                0.92966,                0.77471,                0.65581,                0.48223,                 0.9607,             0.00096417,             0.00096417,             0.00096417
                     26,                0.86159,                0.65271,                 1.0628,                 0.8784,                  0.879,                0.93129,                0.77514,                0.66208,                0.47846,                0.95675,             0.00094396,             0.00094396,             0.00094396
                     27,                0.85426,                0.65168,                  1.057,                0.87367,                0.87512,                0.93206,                0.77927,                0.65114,                0.47948,                0.95261,             0.00092375,             0.00092375,             0.00092375
                     28,                 0.8475,                0.64097,                 1.0545,                0.86832,                0.89826,                0.93954,                0.78514,                0.64887,                0.46208,                0.94255,             0.00090354,             0.00090354,             0.00090354
                     29,                 0.8418,                0.62968,                 1.0501,                0.86925,                0.90875,                0.94033,                0.78799,                0.63434,                0.45369,                0.93929,             0.00088333,             0.00088333,             0.00088333
                     30,                 0.8423,                0.62742,                 1.0475,                0.88437,                0.89181,                0.93363,                0.78401,                0.64128,                0.46434,                0.94284,             0.00086312,             0.00086312,             0.00086312
                     31,                0.82922,                0.61378,                 1.0449,                0.88338,                0.89758,                0.94329,                0.79102,                0.64823,                0.45284,                0.94905,             0.00084291,             0.00084291,             0.00084291
                     32,                0.82331,                0.61484,                 1.0408,                0.88227,                  0.891,                0.93912,                0.78813,                0.64298,                0.45493,                  0.947,              0.0008227,              0.0008227,              0.0008227
                     33,                0.81757,                0.60502,                 1.0381,                0.86724,                0.90769,                0.93856,                0.79534,                0.62828,                0.45152,                0.94075,             0.00080249,             0.00080249,             0.00080249
                     34,                0.80945,                0.59954,                  1.037,                0.89912,                0.88693,                0.94178,                0.78931,                0.63502,                0.45427,                 0.9414,             0.00078228,             0.00078228,             0.00078228
                     35,                0.80557,                0.59606,                 1.0306,                0.88409,                0.89994,                0.94035,                0.79202,                0.63748,                  0.451,                0.94012,             0.00076207,             0.00076207,             0.00076207
                     36,                0.80788,                 0.5892,                 1.0319,                 0.8801,                0.90326,                0.93946,                0.78986,                0.62989,                0.44446,                0.92625,             0.00074186,             0.00074186,             0.00074186
                     37,                0.80234,                0.58546,                 1.0311,                0.89036,                0.90663,                0.94537,                0.79742,                0.63588,                0.43028,                0.94511,             0.00072164,             0.00072164,             0.00072164
                     38,                0.80179,                0.58263,                 1.0311,                0.90036,                0.90426,                0.94369,                0.79624,                0.62992,                 0.4372,                0.93706,             0.00070143,             0.00070143,             0.00070143
                     39,                0.79834,                 0.5747,                 1.0274,                0.90034,                0.89671,                0.94765,                0.80056,                0.63007,                 0.4295,                 0.9393,             0.00068122,             0.00068122,             0.00068122
                     40,                0.79116,                0.56895,                 1.0274,                0.88554,                0.90806,                0.94424,                0.80002,                0.62162,                0.42882,                0.92509,             0.00066101,             0.00066101,             0.00066101
                     41,                0.78797,                 0.5625,                  1.023,                0.90263,                0.90033,                0.94503,                0.79882,                0.62789,                0.42967,                0.93179,              0.0006408,              0.0006408,              0.0006408
                     42,                0.77742,                0.55019,                 1.0188,                0.89377,                0.90767,                0.94509,                0.80059,                0.62453,                0.42354,                  0.938,             0.00062059,             0.00062059,             0.00062059
                     43,                0.77198,                0.55228,                 1.0145,                0.90045,                0.90091,                0.94348,                0.80162,                  0.615,                0.42471,                0.92439,             0.00060038,             0.00060038,             0.00060038
                     44,                0.77578,                0.54916,                  1.018,                0.88775,                0.90843,                0.94576,                0.80184,                0.61831,                 0.4278,                0.92347,             0.00058017,             0.00058017,             0.00058017
                     45,                0.76925,                0.54943,                 1.0164,                0.86935,                0.93359,                0.94381,                0.80177,                0.62255,                0.42521,                0.93503,             0.00055996,             0.00055996,             0.00055996
                     46,                0.76696,                0.54515,                 1.0141,                0.89695,                0.91124,                0.94687,                0.80247,                 0.6214,                0.41871,                0.93214,             0.00053975,             0.00053975,             0.00053975
                     47,                0.75829,                0.53439,                  1.009,                0.89663,                0.91434,                0.94446,                0.79988,                0.62006,                0.41854,                  0.928,             0.00051954,             0.00051954,             0.00051954
                     48,                0.76449,                0.53415,                 1.0151,                0.89609,                0.91682,                0.94574,                 0.8046,                0.61967,                0.41604,                 0.9246,             0.00049933,             0.00049933,             0.00049933
                     49,                0.75966,                0.52432,                   1.01,                0.89231,                0.90743,                0.94673,                0.80649,                0.61146,                 0.4102,                 0.9216,             0.00047912,             0.00047912,             0.00047912
                     50,                0.75228,                0.52736,                 1.0105,                0.88611,                0.91229,                 0.9491,                0.80757,                0.61677,                0.40815,                0.92395,             0.00045891,             0.00045891,             0.00045891
                     51,                0.75183,                0.52383,                 1.0075,                0.89693,                0.90394,                0.94542,                0.80602,                0.61561,                0.41923,                0.92829,              0.0004387,              0.0004387,              0.0004387
                     52,                0.74695,                0.51818,                 1.0069,                0.89825,                 0.9091,                0.95102,                0.80991,                0.61577,                0.40218,                0.93308,             0.00041849,             0.00041849,             0.00041849
                     53,                0.73854,                0.51558,                 1.0006,                0.89344,                0.91195,                0.95011,                0.80942,                0.61987,                0.40812,                0.93541,             0.00039828,             0.00039828,             0.00039828
                     54,                0.73467,                 0.5036,                0.99789,                0.89052,                0.91659,                0.94764,                0.81077,                 0.6133,                0.40322,                0.93368,             0.00037807,             0.00037807,             0.00037807
                     55,                0.72786,                 0.4954,                0.99626,                0.89781,                0.92071,                0.95014,                0.81333,                0.61145,                0.39555,                0.92864,             0.00035786,             0.00035786,             0.00035786
                     56,                0.73109,                0.49422,                0.99822,                0.90526,                0.91409,                  0.946,                0.80507,                0.61109,                0.40932,                0.92522,             0.00033765,             0.00033765,             0.00033765
                     57,                 0.7272,                0.49918,                0.99516,                0.90592,                0.90301,                0.94957,                0.80787,                0.61399,                0.40362,                0.92213,             0.00031744,             0.00031744,             0.00031744
